denom,cases,primary,pm25,pmcoarse,hs_orless,poverty
1938,8,0,5.69446431141395,15.5345860241619,41.5,9
2438,8,0,8.17400575600304,22.4667602533682,35.5,7
4601,19,2,8.02791716654169,21.852341633907,26.5,4.5
1539,11,0,7.21989909258656,18.8030166820939,36.1,6.5
1796,10,1,3.79220024146267,10.6846958657608,46.7,11.8
639,7,1,NA,NA,NA,NA
156,2,1,3.47121209660042,9.56747771336642,68.8,34.1
84,0,0,3.51972795138824,8.85186219334857,58.9,0
816,9,0,NA,NA,NA,NA
456,2,0,3.47657239071902,7.86793290311806,65.5,10.4
589,5,0,3.79742519712758,7.42640622811999,48.9,17.6
4,0,0,3.42757914591308,8.80406838688404,0,0
114,0,0,3.39594066059731,8.84372462693959,9.9,0
739,4,0,4.44384151974989,14.5483274314513,53.8,13.1
149,0,0,3.73499892626637,8.70762195941122,37.2,11.4
6395,37,1,4.20441932993275,9.68726494287869,42.8,9.9
211,6,0,3.4954589879604,9.67736544258464,60.8,50.3
645,3,0,3.48526584497776,9.16577077455484,39.6,18.3
1005,6,1,4.33329083287837,9.31425578209755,48.3,3.9
226,4,1,4.41902490893558,12.9854167467704,35,0
2636,7,0,3.60195084200369,8.34016268096653,51,14
532,3,0,NA,NA,NA,NA
323,1,0,NA,NA,NA,NA
457,3,0,3.61561998414675,10.1043974710365,68.7,38
133,0,0,3.57715790807099,8.1696465606455,72.7,26.2
913,5,0,3.5623844501785,8.88993360685359,29.5,9.4
610,2,0,4.22430340336255,11.134157142659,65.6,23.3
216,3,0,3.83891083505411,9.59881429060235,64.8,36.4
242,0,0,8.64921829959589,16.2568295422095,40.1,10.7
2753,5,0,4.33900576276534,11.6391551519551,40.8,6.2
1777,2,0,6.43846663863112,12.5197496639952,35.4,15.5
167,0,0,4.10957113215505,8.64200354780207,52.9,19.2
340,3,0,4.58258272667315,11.4769643218151,38.8,15.1
2465,9,2,5.74840162964857,10.1716308655227,58.4,27.6
574,6,0,6.10572199303215,11.7088976514499,58.9,NA
125,0,0,4.42596709095965,10.9716194869004,49.8,0
330,0,0,5.14945548497473,10.3818505043153,50.1,20
175,0,0,6.18205922143898,12.5701153193272,27.1,5.8
31,0,0,6.43795903873158,13.4162542213698,19.5,5
12019,48,1,6.15504401170204,14.1191700341851,29.7,3.4
1975,5,0,7.17801585416813,13.1649314718933,28.9,7.2
1011,6,0,5.76510432563219,12.5562084637468,42.3,10.4
354,0,0,5.73859505473839,11.1826092103501,49.1,9.6
418,2,0,3.79096281919885,11.6054054142866,60.4,10.6
11,0,0,4.14126567899108,13.0014726618817,23.1,73.5
154,0,0,7.98720210486998,16.6755147362887,78.7,20.5
3223,7,0,9.22098595681235,16.4166871316819,69.8,28.6
3581,18,0,6.55476565523202,15.0450687988111,24.5,1.5
937,1,0,4.19443065314071,13.4860414326621,38.4,8.2
389,3,0,7.37149558998001,13.5803261836694,26.7,9.7
807,4,0,4.81473921650258,9.94639479740229,44.5,15.5
226,1,0,7.07926778124521,14.4648456302409,89.5,15.6
133,0,0,4.65743640805316,11.6769976178355,51,7.9
599,1,0,NA,NA,NA,NA
2505,4,0,5.82827350183453,14.8968259331532,30,5.2
665,3,0,5.08249658055663,12.0133304437539,32.2,15.2
772,1,0,3.838652663485,11.7412198873596,53.8,13.5
212,0,0,4.6706119250541,8.58076295380345,38,2.8
12,0,0,9.54201032267999,19.0919214527475,29.5,0
616,1,0,10.2060606544459,22.8285378360899,74.8,37.8
5765,51,1,6.1007841592672,12.4393257034,33.1,8.4
601,5,0,NA,NA,NA,NA
449,2,0,6.00669148355733,12.6335912224544,24.2,10.7
675,2,0,5.43329099522028,11.4938507736324,53.1,14.5
40,0,0,NA,NA,NA,NA
203,0,0,7.99864397962882,15.503835930154,37.7,0
2212,2,0,4.80783100254427,12.6433689161394,24.6,2.8
1336,2,0,3.83103082025473,10.0070070624518,62.8,14.7
331,0,0,NA,NA,NA,NA
369,2,0,7.55842326936718,15.6585992579908,40.5,1.9
488,3,1,7.45009960396198,14.1628529865562,11.5,0
1550,3,0,8.36844542420936,14.8693132160168,53.8,17.3
3420,8,0,6.41416923983663,12.4370163776377,26.8,4.9
398,0,0,NA,NA,NA,NA
2035,7,1,6.32547756224055,19.4316788315775,49,12.2
42,0,0,5.7710801263793,21.274033321611,100,100
1615,2,0,5.31880006805168,17.515678232007,19.6,2.7
48,0,0,NA,NA,NA,NA
1,0,0,NA,NA,NA,NA
934,8,0,5.92788688631825,21.8756208644774,33.7,18.3
366,0,0,NA,NA,NA,NA
512,1,0,NA,NA,NA,NA
7111,32,0,5.08633462830792,17.8290701108196,26.9,5.6
8264,30,0,5.61639226911411,20.5862796028278,53.9,26.4
5181,8,0,5.78645762303141,19.9016514086573,67.4,30.9
5,0,0,5.52147058775409,18.8952317195154,59.1,0
35,0,0,5.4716075200395,18.6263053662623,23.2,0.8
3,0,0,NA,NA,NA,NA
11842,26,2,5.4215784867445,18.9197855942876,34.9,9.6
6346,9,3,5.64845577749486,20.2355798422357,41.5,19.6
5839,14,0,5.458046911469,19.6049636271009,32.6,17.4
7278,12,0,5.72496023308252,19.6453990392538,58.9,25.1
2019,2,0,5.88817534509358,20.9671204739454,72.1,20.7
4289,17,1,5.18544619589077,17.9598438011884,19.8,8.3
4269,11,0,5.59195795257577,20.1455869975913,29.9,17.9
173,1,0,NA,NA,NA,NA
6488,32,2,4.90838374419483,16.7589183271359,12.4,3.4
3688,8,1,5.68265442678425,20.6150533259566,25.4,17.9
9,0,0,NA,NA,NA,NA
20,0,0,NA,NA,NA,NA
3,0,0,5.93802467888642,21.9459442394901,NA,NA
144,0,0,NA,NA,NA,NA
303,1,0,5.67436545373289,20.1169752050412,NA,NA
246,0,0,NA,NA,NA,NA
6154,16,1,4.79768190366444,14.7916432415415,37.5,9.2
338,2,0,NA,NA,NA,NA
1400,2,0,NA,NA,NA,NA
179,0,0,NA,NA,NA,NA
498,0,0,NA,NA,NA,NA
1960,4,1,6.38466199579005,17.7247267524536,59.4,7
667,4,0,7.40625533609022,17.517338989436,59.3,19.9
4766,16,0,4.69370676259861,15.9331494694214,16.8,3.6
274,0,0,NA,NA,NA,NA
7091,33,2,4.60255326791127,14.8185968192248,30.6,4.3
7091,33,2,4.60255326791127,14.8185968192248,30.6,4.3
455,0,0,NA,NA,NA,NA
3953,18,1,5.36028728039866,19.0091708954801,30.5,7.6
3571,9,0,5.26094141296187,18.6587066868605,22.5,3.5
4539,7,0,5.706716117954,18.8779420264669,28.9,4.6
5374,9,0,5.4130381209474,17.9891650813665,33.7,12.5
4722,15,0,5.61586774433831,17.5605673566953,51.5,17.6
2027,4,0,4.93624908792592,14.113747090223,19.2,1.8
3377,7,1,4.80686209465406,15.2567845584312,24.3,4
3839,3,0,4.47882133631326,14.1105210998516,19,4.2
5683,13,0,4.72769424266604,15.7144649959381,12.6,1.6
354,0,0,NA,NA,NA,NA
237,3,0,NA,NA,NA,NA
339,1,0,NA,NA,NA,NA
4785,21,1,4.69761071064961,15.7640672268664,18.8,4.1
3496,9,0,5.5037808218557,17.0187054602151,54.3,10.7
1485,4,0,5.63191096526756,17.3002503950827,47.2,18.8
2,0,0,NA,NA,NA,NA
2869,10,0,3.3551903877006,7.43393146341591,41.6,9.7
994,6,0,NA,NA,NA,NA
132,0,0,3.50901471444462,8.1003955113493,87,56.2
194,0,0,3.32429879987752,7.04901964185919,100,0
173,0,0,3.27241832964873,6.4891032466118,33.9,18.1
11,0,0,3.41622403516634,6.82159123977705,6.9,0
99,0,0,3.55043455031572,7.97421730695725,51.7,24.3
604,0,0,3.28136965552769,6.6915140262956,62.3,29.3
697,0,0,3.25569213923439,6.74722986436024,43.6,9.6
103,3,0,3.30427896664948,7.96969214011013,41,0
57,0,0,3.21633085012976,6.78402949128157,22.3,0
322,0,0,3.70721597630519,7.51294447931125,35.9,10.6
1580,3,0,3.29564362196331,7.33471036021793,40.8,13.2
53,0,0,3.2348210516874,7.13199332422108,35.7,31.1
76,0,0,3.87726921735397,7.75208575621471,34.7,0
99,0,0,3.23425466559685,6.4995119505395,46.1,37.5
885,3,0,3.63920208190929,7.94132186789596,44.2,15.7
120,0,0,3.43952458906674,7.61350112826402,38.7,56.5
1086,4,1,3.26554785685218,7.21054272115814,26.5,6.6
732,4,0,3.34022031813674,7.0204935428037,38.5,5.6
1499,2,0,3.43710350362802,7.15017941468344,33.8,7.1
517,1,0,3.25352351249347,6.80396068318097,44,16.2
617,0,0,3.41352090604327,7.29052918988776,56.6,11.2
365,0,0,3.25503203883585,6.95675110105432,55.9,12.2
732,6,0,3.34724801140284,7.99148484774578,64.7,40.7
49,0,0,3.39205715188039,6.63703910764928,NA,NA
3159,19,1,5.23783167846545,6.04999944707991,23.4,6.4
231,3,0,NA,NA,NA,NA
339,1,0,4.89163770580756,6.17992475007247,100,0
3675,27,0,5.2639323598618,5.92080956231682,33,10.9
1,0,0,5.87411104358129,8.20827825977315,24,64.3
37,0,0,5.46617881866315,6.88033367632162,0,0
14,0,0,5.57718523808545,5.16660979680603,95.8,26.9
291,1,0,4.71116667418017,7.05789435580061,40.5,0
166,2,0,5.38692712633858,6.41935363067794,32.3,8.6
259,5,0,5.61039641000711,5.14543586709513,71.7,35
150,3,0,7.07429001632643,5.40628868322575,59.3,39.1
344,0,0,6.86153068541935,5.2459967784833,56.6,11.6
113,1,0,5.99627433619504,5.32354773620591,37.8,0
226,0,0,4.28700537182176,7.43393157976301,28.1,28
912,1,0,3.57257186950446,6.75797790579019,36.3,16
3,0,0,3.33465012468882,6.41209757745614,NA,NA
39,0,0,3.47393935973672,6.55278574487338,43.7,0
174,0,0,4.79723205929549,5.50400867494083,52.9,26.2
314,0,0,3.68538558716519,6.21368852748472,61.2,35.8
182,3,0,3.89352840620734,7.23007194322915,41,11.3
840,4,0,5.29854621921827,5.97744533160912,64.2,39.2
251,3,0,4.00269498821302,5.93925009573123,55.8,43.9
277,1,0,4.80782323758511,5.93609469855003,59.2,27.6
